rank,candidate_id,semantic_score,skill_score,behavior_score,experience_score,final_score,explanation
991,CAND_0059395,0.724,4.2233,0.2776,0.7,1.5059,Moderate overall profile match
992,CAND_0006567,0.7882,3.5067,0.8192,1.0,1.5058,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
993,CAND_0044000,0.7522,4.21,0.2368,0.7,1.5057,Strong semantic match with job description
994,CAND_0098766,0.715,4.0333,0.5304,0.7,1.5054,Positive candidate engagement signals
995,CAND_0013771,0.7189,4.4633,0.3592,0.2,1.5052,Moderate overall profile match
996,CAND_0076721,0.7297,4.1467,0.1334,1.0,1.5052,Relevant professional experience
997,CAND_0037040,0.7138,4.4033,0.0684,0.7,1.505,Moderate overall profile match
998,CAND_0047065,0.7585,4.1133,0.3412,0.7,1.505,Strong semantic match with job description
999,CAND_0081704,0.7365,4.0333,0.4842,0.7,1.5048,Moderate overall profile match
1000,CAND_0014180,0.7475,4.2,0.2532,0.7,1.5046,Moderate overall profile match
1001,CAND_0024289,0.7247,4.1367,0.1522,1.0,1.5045,Relevant professional experience
1002,CAND_0021290,0.7495,4.3267,0.0892,0.7,1.5043,Moderate overall profile match
1003,CAND_0007499,0.7321,3.9067,0.6486,0.7,1.5042,Positive candidate engagement signals
1004,CAND_0093595,0.7162,3.9567,0.3926,1.0,1.5042,Relevant professional experience
1005,CAND_0053664,0.7355,4.2633,-0.0294,1.0,1.5041,Relevant professional experience
1006,CAND_0089184,0.7388,4.0933,0.4008,0.7,1.504,Moderate overall profile match
1007,CAND_0072112,0.7382,4.25,-0.0196,1.0,1.5039,Relevant professional experience
1008,CAND_0086969,0.7661,4.3233,0.0566,0.7,1.5036,Strong semantic match with job description
1009,CAND_0049483,0.7387,4.3333,0.0984,0.7,1.5035,Moderate overall profile match
1010,CAND_0085763,0.7394,4.3167,0.118,0.7,1.5035,Moderate overall profile match
1011,CAND_0062751,0.7537,4.0767,0.3886,0.7,1.5034,Strong semantic match with job description
1012,CAND_0097712,0.7192,4.24,0.6288,0.2,1.5034,Positive candidate engagement signals
1013,CAND_0008149,0.7305,4.3267,0.122,0.7,1.5033,Moderate overall profile match
1014,CAND_0033344,0.7395,4.3333,0.096,0.7,1.5033,Moderate overall profile match
1015,CAND_0042523,0.712,4.1233,0.188,1.0,1.5032,Relevant professional experience
1016,CAND_0098863,0.7591,4.15,0.2852,0.7,1.5032,Strong semantic match with job description
1017,CAND_0007564,0.781,3.9033,0.3244,1.0,1.5031,Strong semantic match with job description; Relevant professional experience
1018,CAND_0055414,0.7695,4.3,0.0766,0.7,1.5031,Strong semantic match with job description
1019,CAND_0042378,0.7458,4.3033,0.1174,0.7,1.5026,Moderate overall profile match
1020,CAND_0027450,0.7455,4.12,0.12,1.0,1.5022,Relevant professional experience
1021,CAND_0078975,0.7397,4.13,0.3442,0.7,1.5022,Moderate overall profile match
1022,CAND_0028227,0.7401,3.87,0.4416,1.0,1.5019,Relevant professional experience
1023,CAND_0009507,0.7644,4.0167,0.4344,0.7,1.5018,Strong semantic match with job description
1024,CAND_0075090,0.7382,3.9333,0.5882,0.7,1.5013,Positive candidate engagement signals
1025,CAND_0009302,0.7097,4.4133,0.0444,0.7,1.5011,Moderate overall profile match
1026,CAND_0058145,0.7459,4.1,0.3636,0.7,1.5011,Moderate overall profile match
1027,CAND_0009734,0.7042,4.0,0.3466,1.0,1.501,Relevant professional experience
1028,CAND_0006130,0.7498,4.2433,0.1758,0.7,1.5009,Moderate overall profile match
1029,CAND_0013186,0.7671,4.22,0.1698,0.7,1.5008,Strong semantic match with job description
1030,CAND_0059509,0.7601,3.93,0.321,1.0,1.5008,Strong semantic match with job description; Relevant professional experience
1031,CAND_0064347,0.7244,4.1133,0.3886,0.7,1.5008,Moderate overall profile match
1032,CAND_0024850,0.7278,4.39,0.035,0.7,1.5006,Moderate overall profile match
1033,CAND_0056029,0.7209,4.3767,0.0656,0.7,1.5006,Moderate overall profile match
1034,CAND_0051575,0.74,4.13,0.1094,1.0,1.5004,Relevant professional experience
1035,CAND_0057320,0.7383,4.2467,0.1914,0.7,1.5003,Moderate overall profile match
1036,CAND_0032156,0.7684,4.04,0.388,0.7,1.5,Strong semantic match with job description
1037,CAND_0096383,0.7071,4.2933,0.193,0.7,1.4998,Moderate overall profile match
1038,CAND_0059283,0.7392,4.5733,0.1536,0.2,1.4997,Moderate overall profile match
1039,CAND_0003687,0.7054,4.31,0.5484,0.2,1.4994,Positive candidate engagement signals
1040,CAND_0034115,0.7571,4.2833,0.1026,0.7,1.4992,Strong semantic match with job description
1041,CAND_0058960,0.7136,4.0,0.318,1.0,1.499,Relevant professional experience
1042,CAND_0089446,0.7438,4.5667,0.1492,0.2,1.499,Moderate overall profile match
1043,CAND_0016180,0.7383,4.3167,0.0964,0.7,1.4987,Moderate overall profile match
1044,CAND_0021747,0.7098,4.2233,0.2696,0.7,1.4987,Moderate overall profile match
1045,CAND_0092260,0.7425,4.22,0.5832,0.2,1.4987,Positive candidate engagement signals
1046,CAND_0099365,0.7359,4.2567,0.1758,0.7,1.4987,Moderate overall profile match
1047,CAND_0017180,0.7341,4.31,0.4864,0.2,1.4984,Moderate overall profile match
1048,CAND_0043481,0.7431,4.6833,0.0018,0.2,1.4984,Moderate overall profile match
1049,CAND_0031820,0.7427,4.6067,0.0974,0.2,1.4982,Moderate overall profile match
1050,CAND_0026908,0.7299,4.3067,0.122,0.7,1.498,Moderate overall profile match
1051,CAND_0062815,0.7453,4.0567,0.4034,0.7,1.498,Moderate overall profile match
1052,CAND_0091585,0.711,4.36,0.0932,0.7,1.498,Moderate overall profile match
1053,CAND_0013749,0.7464,4.0,0.4708,0.7,1.4977,Moderate overall profile match
1054,CAND_0029759,0.7539,4.1667,0.2472,0.7,1.4976,Strong semantic match with job description
1055,CAND_0037522,0.72,4.1267,0.3636,0.7,1.4974,Moderate overall profile match
1056,CAND_0071837,0.7208,4.33,0.108,0.7,1.4974,Moderate overall profile match
1057,CAND_0022594,0.7323,4.3,0.1202,0.7,1.497,Moderate overall profile match
1058,CAND_0000201,0.7365,4.09,0.3736,0.7,1.4968,Moderate overall profile match
1059,CAND_0059448,0.7378,4.1567,0.0624,1.0,1.4968,Relevant professional experience
1060,CAND_0072943,0.7503,4.11,0.0954,1.0,1.4967,Strong semantic match with job description; Relevant professional experience
1061,CAND_0066707,0.7677,4.2433,0.1182,0.7,1.4966,Strong semantic match with job description
1062,CAND_0053258,0.7443,4.5867,0.1104,0.2,1.4965,Moderate overall profile match
1063,CAND_0076319,0.7402,3.8733,0.4086,1.0,1.4962,Relevant professional experience
1064,CAND_0001095,0.7792,4.2567,0.0762,0.7,1.4961,Strong semantic match with job description
1065,CAND_0046434,0.7365,3.9033,0.3784,1.0,1.4961,Relevant professional experience
1066,CAND_0098952,0.8056,3.4667,0.7842,1.0,1.4958,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1067,CAND_0093707,0.7622,4.2633,0.4742,0.2,1.4955,Strong semantic match with job description
1068,CAND_0096921,0.7128,3.9767,0.5554,0.7,1.4954,Positive candidate engagement signals
1069,CAND_0000578,0.7535,3.84,0.4184,1.0,1.4951,Strong semantic match with job description; Relevant professional experience
1070,CAND_0038197,0.7347,4.2967,0.11,0.7,1.495,Moderate overall profile match
1071,CAND_0012093,0.7383,4.2,-0.0022,1.0,1.4949,Relevant professional experience
1072,CAND_0046419,0.7311,4.32,0.0862,0.7,1.4947,Moderate overall profile match
1073,CAND_0074519,0.7259,4.17,0.059,1.0,1.4947,Relevant professional experience
1074,CAND_0071908,0.7526,3.9567,0.2712,1.0,1.4945,Strong semantic match with job description; Relevant professional experience
1075,CAND_0092033,0.7427,4.1567,0.0414,1.0,1.4945,Relevant professional experience
1076,CAND_0036212,0.7306,3.8667,0.4274,1.0,1.4944,Relevant professional experience
1077,CAND_0002058,0.7456,4.3067,0.0708,0.7,1.4941,Moderate overall profile match
1078,CAND_0019384,0.7392,4.3033,0.0878,0.7,1.4941,Moderate overall profile match
1079,CAND_0040102,0.7749,3.72,0.7456,0.7,1.4941,Strong semantic match with job description; Positive candidate engagement signals
1080,CAND_0047721,0.7643,3.62,0.6652,1.0,1.4938,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1081,CAND_0094920,0.7656,4.4233,0.2584,0.2,1.4938,Strong semantic match with job description
1082,CAND_0076250,0.7322,3.9,0.379,1.0,1.4937,Relevant professional experience
1083,CAND_0037883,0.7661,4.0833,0.0804,1.0,1.4934,Strong semantic match with job description; Relevant professional experience
1084,CAND_0023993,0.6997,4.0533,0.4746,0.7,1.4931,Moderate overall profile match
1085,CAND_0095214,0.7343,4.1,0.122,1.0,1.4931,Relevant professional experience
1086,CAND_0080452,0.7452,4.1867,0.2164,0.7,1.493,Moderate overall profile match
1087,CAND_0069219,0.7458,4.2833,0.0938,0.7,1.4929,Moderate overall profile match
1088,CAND_0090694,0.7441,4.3433,0.0212,0.7,1.4927,Moderate overall profile match
1089,CAND_0025811,0.751,4.03,0.3988,0.7,1.4926,Strong semantic match with job description
1090,CAND_0028793,0.7658,3.51,0.7938,1.0,1.4926,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1091,CAND_0050069,0.7433,4.1267,0.293,0.7,1.4926,Moderate overall profile match
1092,CAND_0066957,0.7355,4.2767,0.121,0.7,1.4926,Moderate overall profile match
1093,CAND_0007940,0.7468,4.1833,0.2146,0.7,1.4925,Moderate overall profile match
1094,CAND_0091884,0.7287,4.2033,0.001,1.0,1.4925,Relevant professional experience
1095,CAND_0056254,0.7443,4.5167,0.1772,0.2,1.4923,Moderate overall profile match
1096,CAND_0082824,0.7329,4.0133,0.453,0.7,1.4921,Moderate overall profile match
1097,CAND_0026694,0.7245,4.3067,0.1024,0.7,1.492,Moderate overall profile match
1098,CAND_0086479,0.7353,3.7867,0.5054,1.0,1.4919,Positive candidate engagement signals; Relevant professional experience
1099,CAND_0057976,0.7672,4.35,-0.0378,0.7,1.4918,Strong semantic match with job description
1100,CAND_0078319,0.7373,4.3133,0.0676,0.7,1.4918,Moderate overall profile match
1101,CAND_0095529,0.7269,3.83,0.4678,1.0,1.4918,Relevant professional experience
1102,CAND_0086178,0.7214,4.34,0.0646,0.7,1.4915,Moderate overall profile match
1103,CAND_0001238,0.7548,4.18,0.1974,0.7,1.4914,Strong semantic match with job description
1104,CAND_0027270,0.7348,4.3033,0.0834,0.7,1.4914,Moderate overall profile match
1105,CAND_0072086,0.7285,4.14,0.0748,1.0,1.4914,Relevant professional experience
1106,CAND_0015750,0.754,4.2767,0.0778,0.7,1.4913,Strong semantic match with job description
1107,CAND_0081487,0.7255,4.1133,0.714,0.2,1.4913,Positive candidate engagement signals
1108,CAND_0064664,0.7644,3.82,0.6268,0.7,1.4911,Strong semantic match with job description; Positive candidate engagement signals
1109,CAND_0089350,0.7349,4.0967,0.34,0.7,1.4911,Moderate overall profile match
1110,CAND_0095909,0.7104,4.3867,0.0262,0.7,1.4911,Moderate overall profile match
1111,CAND_0012078,0.7429,4.09,0.3316,0.7,1.491,Moderate overall profile match
1112,CAND_0035616,0.7341,4.1533,0.2702,0.7,1.491,Moderate overall profile match
1113,CAND_0041180,0.7137,4.3733,0.0358,0.7,1.491,Moderate overall profile match
1114,CAND_0042008,0.7387,3.72,0.5768,1.0,1.4909,Positive candidate engagement signals; Relevant professional experience
1115,CAND_0066567,0.7359,3.93,0.3202,1.0,1.4909,Relevant professional experience
1116,CAND_0071881,0.7754,4.1567,-0.0422,1.0,1.4909,Strong semantic match with job description; Relevant professional experience
1117,CAND_0063041,0.7374,4.2267,0.169,0.7,1.4904,Moderate overall profile match
1118,CAND_0043371,0.7085,4.2367,-0.0112,1.0,1.4903,Relevant professional experience
1119,CAND_0038035,0.7109,4.3033,0.125,0.7,1.4902,Moderate overall profile match
1120,CAND_0073339,0.7497,3.9533,0.485,0.7,1.4902,Moderate overall profile match
1121,CAND_0088136,0.7456,4.0,0.2092,1.0,1.4901,Relevant professional experience
1122,CAND_0083212,0.7162,4.4,-0.0072,0.7,1.49,Moderate overall profile match
1123,CAND_0098645,0.7668,4.0467,0.3332,0.7,1.49,Strong semantic match with job description
1124,CAND_0052718,0.7681,4.21,0.126,0.7,1.4899,Strong semantic match with job description
1125,CAND_0004363,0.7366,4.3133,0.059,0.7,1.4898,Moderate overall profile match
1126,CAND_0029306,0.7488,4.1567,0.2308,0.7,1.4898,Moderate overall profile match
1127,CAND_0060388,0.763,4.2233,0.1188,0.7,1.4898,Strong semantic match with job description
1128,CAND_0009169,0.7311,4.29,0.0988,0.7,1.4897,Moderate overall profile match
1129,CAND_0008618,0.773,3.9667,0.4188,0.7,1.4896,Strong semantic match with job description
1130,CAND_0021065,0.7296,3.9867,0.4806,0.7,1.4896,Moderate overall profile match
1131,CAND_0091796,0.7275,4.4733,0.2512,0.2,1.4896,Moderate overall profile match
1132,CAND_0013358,0.7596,4.0,0.4024,0.7,1.4893,Strong semantic match with job description
1133,CAND_0022634,0.7587,4.1167,0.258,0.7,1.4892,Strong semantic match with job description
1134,CAND_0095727,0.7612,4.06,0.0984,1.0,1.4892,Strong semantic match with job description; Relevant professional experience
1135,CAND_0029825,0.7232,4.11,0.1114,1.0,1.4891,Relevant professional experience
1136,CAND_0021281,0.715,4.3233,0.0858,0.7,1.489,Moderate overall profile match
1137,CAND_0078489,0.7474,3.95,0.2626,1.0,1.489,Relevant professional experience
1138,CAND_0085568,0.7519,4.31,0.0286,0.7,1.489,Strong semantic match with job description
1139,CAND_0036150,0.7393,4.3767,-0.03,0.7,1.4889,Moderate overall profile match
1140,CAND_0079958,0.7384,4.0033,0.2138,1.0,1.4889,Relevant professional experience
1141,CAND_0088049,0.7809,3.6533,0.5654,1.0,1.4888,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1142,CAND_0092181,0.7197,3.97,0.5172,0.7,1.4888,Positive candidate engagement signals
1143,CAND_0029958,0.7223,3.89,0.6108,0.7,1.4886,Positive candidate engagement signals
1144,CAND_0078708,0.7349,4.22,0.1724,0.7,1.4884,Moderate overall profile match
1145,CAND_0009429,0.7214,4.21,-0.014,1.0,1.4883,Relevant professional experience
1146,CAND_0064780,0.7234,4.1767,0.0238,1.0,1.4883,Relevant professional experience
1147,CAND_0050394,0.7674,4.0833,0.2768,0.7,1.4882,Strong semantic match with job description
1148,CAND_0099995,0.7307,4.0833,0.35,0.7,1.4881,Moderate overall profile match
1149,CAND_0038791,0.7286,3.9633,0.2782,1.0,1.4879,Relevant professional experience
1150,CAND_0046775,0.7354,4.31,0.0554,0.7,1.4877,Moderate overall profile match
1151,CAND_0052367,0.7464,3.9733,0.229,1.0,1.4877,Relevant professional experience
1152,CAND_0094541,0.7549,4.1867,0.169,0.7,1.4874,Strong semantic match with job description
1153,CAND_0090025,0.7081,3.9267,0.362,1.0,1.4873,Relevant professional experience
1154,CAND_0028769,0.7307,4.2267,-0.063,1.0,1.4863,Relevant professional experience
1155,CAND_0060623,0.7432,3.9,0.544,0.7,1.4861,Positive candidate engagement signals
1156,CAND_0079244,0.7303,4.2433,0.1404,0.7,1.486,Moderate overall profile match
1157,CAND_0088815,0.7376,3.84,0.4048,1.0,1.486,Relevant professional experience
1158,CAND_0063436,0.7445,4.0733,0.324,0.7,1.4859,Moderate overall profile match
1159,CAND_0071264,0.7261,4.2467,0.143,0.7,1.4857,Moderate overall profile match
1160,CAND_0070453,0.7594,3.71,0.5218,1.0,1.4856,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1161,CAND_0097904,0.7535,3.84,0.3708,1.0,1.4856,Strong semantic match with job description; Relevant professional experience
1162,CAND_0096019,0.733,4.31,0.048,0.7,1.4853,Moderate overall profile match
1163,CAND_0055758,0.7186,4.46,0.263,0.2,1.4851,Moderate overall profile match
1164,CAND_0040200,0.7731,3.9267,0.2196,1.0,1.4848,Strong semantic match with job description; Relevant professional experience
1165,CAND_0099521,0.7282,3.9,0.3428,1.0,1.4848,Relevant professional experience
1166,CAND_0083427,0.7305,4.1333,0.2706,0.7,1.4847,Moderate overall profile match
1167,CAND_0090492,0.7376,4.2,0.173,0.7,1.4846,Moderate overall profile match
1168,CAND_0016335,0.7484,3.8933,0.5336,0.7,1.4844,Positive candidate engagement signals
1169,CAND_0017548,0.7548,4.1733,0.17,0.7,1.4843,Strong semantic match with job description
1170,CAND_0021367,0.7309,4.1067,0.076,1.0,1.4842,Relevant professional experience
1171,CAND_0055922,0.7614,4.4933,0.1314,0.2,1.4842,Strong semantic match with job description
1172,CAND_0029426,0.756,4.0433,0.3296,0.7,1.4841,Strong semantic match with job description
1173,CAND_0023846,0.7442,4.2433,0.1026,0.7,1.484,Moderate overall profile match
1174,CAND_0091062,0.7251,3.81,0.4572,1.0,1.484,Relevant professional experience
1175,CAND_0056495,0.752,4.0767,0.2946,0.7,1.4839,Strong semantic match with job description
1176,CAND_0098299,0.7556,3.98,0.4084,0.7,1.4839,Strong semantic match with job description
1177,CAND_0059555,0.7184,4.2467,0.1484,0.7,1.4837,Moderate overall profile match
1178,CAND_0060251,0.7638,4.39,0.2536,0.2,1.4837,Strong semantic match with job description
1179,CAND_0067947,0.7472,4.24,0.0994,0.7,1.4837,Moderate overall profile match
1180,CAND_0010373,0.7088,4.28,0.1244,0.7,1.4834,Moderate overall profile match
1181,CAND_0045439,0.75,4.08,0.2914,0.7,1.4833,Moderate overall profile match
1182,CAND_0094759,0.8417,3.45,0.6706,1.0,1.4833,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1183,CAND_0008046,0.7345,4.1033,0.2928,0.7,1.4832,Moderate overall profile match
1184,CAND_0004620,0.7148,3.75,0.5486,1.0,1.4831,Positive candidate engagement signals; Relevant professional experience
1185,CAND_0082237,0.7642,4.04,0.312,0.7,1.4831,Strong semantic match with job description
1186,CAND_0051793,0.7557,3.9,0.2788,1.0,1.483,Strong semantic match with job description; Relevant professional experience
1187,CAND_0010465,0.7286,4.24,0.1322,0.7,1.4829,Moderate overall profile match
1188,CAND_0053694,0.7532,4.0267,0.124,1.0,1.4828,Strong semantic match with job description; Relevant professional experience
1189,CAND_0073982,0.7655,3.5167,0.7368,1.0,1.4827,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1190,CAND_0014179,0.7532,4.21,0.1194,0.7,1.4826,Strong semantic match with job description
1191,CAND_0082988,0.7406,4.0867,0.0732,1.0,1.4825,Relevant professional experience
1192,CAND_0048559,0.7275,4.56,0.1066,0.2,1.4823,Moderate overall profile match
1193,CAND_0094763,0.7273,4.0567,0.1358,1.0,1.4822,Relevant professional experience
1194,CAND_0060116,0.7358,4.0833,0.0848,1.0,1.4821,Relevant professional experience
1195,CAND_0060253,0.7464,4.1233,0.0134,1.0,1.4821,Relevant professional experience
1196,CAND_0076977,0.7498,4.2,0.136,0.7,1.4821,Moderate overall profile match
1197,CAND_0032807,0.7643,3.68,0.7552,0.7,1.4818,Strong semantic match with job description; Positive candidate engagement signals
1198,CAND_0050226,0.7406,3.8667,0.3438,1.0,1.4817,Relevant professional experience
1199,CAND_0017053,0.735,4.0467,0.1296,1.0,1.4816,Relevant professional experience
1200,CAND_0019175,0.7674,3.9933,0.3544,0.7,1.4812,Strong semantic match with job description
1201,CAND_0045080,0.7409,4.19,0.1616,0.7,1.4812,Moderate overall profile match
1202,CAND_0079232,0.757,3.9233,0.2374,1.0,1.4811,Strong semantic match with job description; Relevant professional experience
1203,CAND_0089572,0.7442,4.25,0.0798,0.7,1.4811,Moderate overall profile match
1204,CAND_0049191,0.7467,4.2367,0.0908,0.7,1.481,Moderate overall profile match
1205,CAND_0010848,0.7709,4.1767,0.1158,0.7,1.4807,Strong semantic match with job description
1206,CAND_0029987,0.7191,4.2833,0.086,0.7,1.4807,Moderate overall profile match
1207,CAND_0034698,0.7378,4.0133,0.161,1.0,1.4807,Relevant professional experience
1208,CAND_0097252,0.7666,4.21,0.0826,0.7,1.4807,Strong semantic match with job description
1209,CAND_0069907,0.7455,4.0033,0.3828,0.7,1.4806,Moderate overall profile match
1210,CAND_0045064,0.7461,3.9733,0.1934,1.0,1.4805,Relevant professional experience
1211,CAND_0008536,0.74,4.1167,0.25,0.7,1.4802,Moderate overall profile match
1212,CAND_0043073,0.7194,4.0733,0.3456,0.7,1.4802,Moderate overall profile match
1213,CAND_0044202,0.7348,3.99,0.1942,1.0,1.4802,Relevant professional experience
1214,CAND_0073812,0.7311,3.8,0.4388,1.0,1.4802,Relevant professional experience
1215,CAND_0077337,0.7901,3.4,0.8192,1.0,1.4799,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1216,CAND_0058352,0.7424,4.0467,0.105,1.0,1.4796,Relevant professional experience
1217,CAND_0068716,0.7486,4.0867,0.2676,0.7,1.4796,Moderate overall profile match
1218,CAND_0009058,0.7363,4.2867,0.0416,0.7,1.4795,Moderate overall profile match
1219,CAND_0018735,0.7253,4.0733,0.3296,0.7,1.4794,Moderate overall profile match
1220,CAND_0021437,0.7223,4.01,0.4142,0.7,1.4793,Moderate overall profile match
1221,CAND_0029878,0.731,4.2767,0.0632,0.7,1.4792,Moderate overall profile match
1222,CAND_0034671,0.7227,3.8267,0.4166,1.0,1.4791,Relevant professional experience
1223,CAND_0029519,0.7284,4.1433,0.234,0.7,1.479,Moderate overall profile match
1224,CAND_0082137,0.7392,3.7933,0.425,1.0,1.479,Relevant professional experience
1225,CAND_0099756,0.7319,4.32,0.0062,0.7,1.479,Moderate overall profile match
1226,CAND_0066599,0.7454,4.2167,0.1062,0.7,1.4786,Moderate overall profile match
1227,CAND_0040192,0.7602,3.54,0.6974,1.0,1.4785,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1228,CAND_0060156,0.7148,4.3433,0.0082,0.7,1.4784,Moderate overall profile match
1229,CAND_0019696,0.7753,4.22,0.416,0.2,1.4783,Strong semantic match with job description
1230,CAND_0040434,0.7349,4.09,0.2844,0.7,1.4783,Moderate overall profile match
1231,CAND_0013072,0.7444,3.8667,0.3186,1.0,1.4781,Relevant professional experience
1232,CAND_0039035,0.6794,4.0733,0.1902,1.0,1.4781,Relevant professional experience
1233,CAND_0060876,0.7422,3.9467,0.4466,0.7,1.4779,Moderate overall profile match
1234,CAND_0025971,0.7707,3.55,0.6596,1.0,1.4777,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
1235,CAND_0066733,0.7471,4.47,0.154,0.2,1.4772,Moderate overall profile match
1236,CAND_0061361,0.7444,4.1633,0.1672,0.7,1.477,Moderate overall profile match
1237,CAND_0019753,0.736,4.0267,0.3542,0.7,1.4769,Moderate overall profile match
1238,CAND_0071936,0.7666,4.0867,-0.007,1.0,1.4769,Strong semantic match with job description; Relevant professional experience
1239,CAND_0053392,0.7444,3.9167,0.2492,1.0,1.4768,Relevant professional experience
1240,CAND_0090756,0.7159,4.4033,0.297,0.2,1.4766,Moderate overall profile match
1241,CAND_0017696,0.7119,4.24,0.1334,0.7,1.4765,Moderate overall profile match
1242,CAND_0082707,0.7099,4.18,0.213,0.7,1.4765,Moderate overall profile match
1243,CAND_0015293,0.7215,4.1233,0.0346,1.0,1.4764,Relevant professional experience
1244,CAND_0044023,0.7499,4.19,0.1198,0.7,1.4764,Moderate overall profile match
1245,CAND_0051663,0.7558,4.2433,0.0414,0.7,1.4764,Strong semantic match with job description
1246,CAND_0035755,0.7313,4.1333,0.0014,1.0,1.4761,Relevant professional experience
1247,CAND_0040984,0.7053,4.0567,0.3734,0.7,1.476,Moderate overall profile match
1248,CAND_0017542,0.7321,4.1967,0.1428,0.7,1.4756,Moderate overall profile match
1249,CAND_0029929,0.7381,4.29,0.0142,0.7,1.4756,Moderate overall profile match
1250,CAND_0073450,0.7781,3.73,0.6338,0.7,1.4755,Strong semantic match with job description; Positive candidate engagement signals
1251,CAND_0018330,0.7381,4.2733,0.0338,0.7,1.4753,Moderate overall profile match
1252,CAND_0075930,0.7356,4.57,0.0426,0.2,1.4753,Moderate overall profile match
1253,CAND_0065541,0.7416,4.4533,0.1756,0.2,1.4751,Moderate overall profile match
1254,CAND_0044518,0.733,3.8667,0.3256,1.0,1.475,Relevant professional experience
1255,CAND_0022826,0.7469,4.5667,0.0192,0.2,1.4743,Moderate overall profile match
1256,CAND_0065117,0.7265,3.9333,0.477,0.7,1.4743,Moderate overall profile match
1257,CAND_0092354,0.7218,3.51,0.7902,1.0,1.4743,Positive candidate engagement signals; Relevant professional experience
1258,CAND_0083767,0.7506,4.2767,-0.001,0.7,1.4742,Strong semantic match with job description
1259,CAND_0009928,0.7436,4.51,0.0958,0.2,1.4741,Moderate overall profile match
1260,CAND_0059965,0.7521,4.03,0.0786,1.0,1.4741,Strong semantic match with job description; Relevant professional experience
1261,CAND_0066407,0.7627,4.1533,0.1286,0.7,1.4741,Strong semantic match with job description
1262,CAND_0007719,0.727,4.36,0.3162,0.2,1.474,Moderate overall profile match
1263,CAND_0053908,0.747,4.0833,0.022,1.0,1.474,Relevant professional experience
1264,CAND_0059324,0.7525,4.1933,0.0984,0.7,1.474,Strong semantic match with job description
1265,CAND_0043105,0.7399,4.2967,-0.0062,0.7,1.4739,Moderate overall profile match
1266,CAND_0069753,0.7417,4.2133,0.0934,0.7,1.4737,Moderate overall profile match
1267,CAND_0045313,0.7292,3.9167,0.264,1.0,1.4736,Relevant professional experience
1268,CAND_0030199,0.6952,4.24,0.1516,0.7,1.4734,Moderate overall profile match
1269,CAND_0012799,0.7631,3.8033,0.5612,0.7,1.4733,Strong semantic match with job description; Positive candidate engagement signals
1270,CAND_0052362,0.7329,4.0167,0.3544,0.7,1.4732,Moderate overall profile match
1271,CAND_0004196,0.7573,3.9,0.2252,1.0,1.473,Strong semantic match with job description; Relevant professional experience
1272,CAND_0054804,0.7404,3.73,0.4712,1.0,1.4729,Relevant professional experience
1273,CAND_0015807,0.7124,4.2467,0.1058,0.7,1.4728,Moderate overall profile match
1274,CAND_0039905,0.7349,4.0333,0.1012,1.0,1.4725,Relevant professional experience
1275,CAND_0048615,0.6975,4.1167,0.0716,1.0,1.4725,Relevant professional experience
1276,CAND_0013810,0.7472,4.2633,0.0118,0.7,1.4721,Moderate overall profile match
1277,CAND_0094585,0.7459,4.22,0.4436,0.2,1.4721,Moderate overall profile match
1278,CAND_0001610,0.7767,3.58,0.806,0.7,1.4719,Strong semantic match with job description; Positive candidate engagement signals
1279,CAND_0018066,0.7176,4.2567,0.0786,0.7,1.4719,Moderate overall profile match
1280,CAND_0079550,0.7388,3.6667,0.7726,0.7,1.4717,Positive candidate engagement signals
1281,CAND_0048522,0.7208,4.2267,0.1076,0.7,1.4715,Moderate overall profile match
1282,CAND_0054480,0.7264,4.0633,0.3002,0.7,1.4714,Moderate overall profile match
1283,CAND_0061189,0.7156,3.8633,0.346,1.0,1.4713,Relevant professional experience
1284,CAND_0065998,0.7072,4.2033,0.163,0.7,1.4713,Moderate overall profile match
1285,CAND_0023934,0.7344,3.8767,0.291,1.0,1.4711,Relevant professional experience
1286,CAND_0046092,0.6938,4.0467,0.3844,0.7,1.4711,Moderate overall profile match
1287,CAND_0035292,0.7471,4.12,0.1842,0.7,1.4707,Moderate overall profile match
1288,CAND_0067897,0.7177,4.0167,0.1472,1.0,1.4707,Relevant professional experience
1289,CAND_0014639,0.7418,4.1933,0.101,0.7,1.4702,Moderate overall profile match
1290,CAND_0040371,0.7184,4.0467,0.1058,1.0,1.4702,Relevant professional experience
1291,CAND_0055542,0.7645,4.1333,0.1306,0.7,1.4702,Strong semantic match with job description
1292,CAND_0026248,0.7523,4.0933,0.201,0.7,1.4694,Strong semantic match with job description
1293,CAND_0071369,0.7679,4.12,0.1362,0.7,1.4694,Strong semantic match with job description
